# 네이버 부동산 단지 링크
# 형식: 단지ID | 단지명 | 네이버부동산URL
# URL: https://land.naver.com/complex/complexMain.naver?hscpNo=XXXXX

# ── 명지오션시티 ─────────────────────────────────────────────────────────────
ocean_blueocean4        | 엘크루블루오션 4단지     |  https://new.land.naver.com/complexes/26078?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_blueocean5        | 엘크루블루오션 5단지     |  https://new.land.naver.com/complexes/26080?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_blueocean6        | 엘크루블루오션 6단지     |  https://new.land.naver.com/complexes/26079?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_doosan            | 두산위브                 |  https://new.land.naver.com/complexes/102843?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_hansin            | 한신휴플러스             |  https://new.land.naver.com/complexes/105610?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_kukdong           | 극동스타클래스           |  https://new.land.naver.com/complexes/25894?ms=2z5NKS,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_lotte             | 롯데캐슬                 |  https://new.land.naver.com/complexes/25769?ms=2z5Qq3,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_qweendom_edison   | 퀸덤 에디슨              |  https://new.land.naver.com/complexes/24757?ms=2z5ZSQ,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_qweendom_lincoln  | 퀸덤 링컨               |  https://new.land.naver.com/complexes/25241?ms=2z5ZSQ,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_qweendom_einstein | 퀸덤 아인슈타인          |  https://new.land.naver.com/complexes/24846?ms=2z5ZSQ,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_samjung           | 삼정그린코아             |  https://new.land.naver.com/complexes/104870?ms=2z5ZSQ,3AAsZt,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_solmare           | 솔마레                   |  https://new.land.naver.com/complexes/100118?ms=2z5V5t,3AAqOv,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ocean_happyhouse        | 명지행복주택             |

# ── 명지국제신도시 ───────────────────────────────────────────────────────────
kukje_daebang1          | 대방1차                  |  https://new.land.naver.com/complexes/106554?ms=2z6qvN,3AB5vv,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
kukje_daebang2          | 대방2차                  |  https://new.land.naver.com/complexes/107738?ms=2z6qvN,3AB5vv,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
